seq.name,gene_symbol
ENST00000226225.7,TNFAIP1
ENST00000226230.8,TMEM97
ENST00000226279.8,CD38
ENST00000226284.7,IBSP
ENST00000226299.8,LAP3
ENST00000226317.10,CXCL6
ENST00000226319.11,JADE1
ENST00000226355.5,AFM
ENST00000226382.3,PHOX2B
ENST00000226413.4,GNRHR
ENST00000226432.9,CWH43
ENST00000226444.4,SULT1E1
ENST00000226460.5,SMR3A
ENST00000226524.4,PF4V1
ENST00000226574.9,NFKB1
ENST00000226725.11,KLHL2
ENST00000226730.4,IL2
ENST00000226760.5,WFS1
ENST00000226798.9,FRG1
ENST00000226951.11,CLNK
ENST00000227155.9,CD82
ENST00000227266.10,CTSC
ENST00000227322.8,ZPR1
ENST00000227348.9,CRTAM
ENST00000227349.6,JHY
ENST00000227451.4,DTX4
ENST00000227471.7,UNC93B1
ENST00000227474.8,PUS3
ENST00000227495.10,ST3GAL4
ENST00000227507.2,CCND1
ENST00000227520.10,CCDC86
ENST00000227524.9,PRPF19
ENST00000227525.8,TMEM109
ENST00000227618.8,ANAPC15
ENST00000227638.8,PANX1
ENST00000227667.8,APOC3
ENST00000227752.7,IL10RA
ENST00000227756.5,GALNT18
ENST00000227758.6,BIRC2
ENST00000227868.9,PDHX
ENST00000227880.8,SLC15A3
ENST00000227918.3,SCGB2A2
ENST00000228027.12,DGAT2
ENST00000228136.9,C11orf58
ENST00000228251.9,YBX3
ENST00000228306.8,RPLP0
ENST00000228307.11,PXN
ENST00000228318.7,SLC25A3
ENST00000228347.9,POLR3B
ENST00000228425.11,PPFIBP1
ENST00000228434.7,CD69
ENST00000228437.10,PRDM4
ENST00000228438.2,CLEC2B
ENST00000228476.8,DAO
ENST00000228495.11,KCTD10
ENST00000228506.8,MLEC
ENST00000228510.8,MVK
ENST00000228515.6,CSRNP2
ENST00000228534.6,IL23A
ENST00000228567.7,SYT10
ENST00000228606.9,CYP27B1
ENST00000228641.4,MYF6
ENST00000228644.4,MYF5
ENST00000228682.7,GLI1
ENST00000228705.7,PPM1H
ENST00000228740.7,LTA4H
ENST00000228741.8,ELK3
ENST00000228799.7,ITFG2
ENST00000228811.8,PRR4
ENST00000228820.9,PARP11
ENST00000228825.12,ARPC3
ENST00000228827.8,GPN3
ENST00000228837.2,FGF6
ENST00000228841.13,MYL2
ENST00000228865.3,CREBL2
ENST00000228872.9,CDKN1B
ENST00000228916.7,SCNN1A
ENST00000228918.9,LTBR
ENST00000228922.11,OGFOD2
ENST00000228928.12,OAS3
